Description,OnSalePrice,PurchasePrice,DateTimeReport
Dólar Americano (USD),4800.000000,4600.000000,2022-11-15T23:47:49-0500
Euro baja denominación,5050.000000,4900.000000,2022-11-15T23:47:49-0500
Euros de 200 y 500,5050.000000,4800.000000,2022-11-15T23:47:49-0500
Bolívar Fuerte (VEF),0.000000,0.000000,2022-11-15T23:47:49-0500
Colón Costarricense (CRC),45.000000,25.000000,2022-11-15T23:47:49-0500
Corona Noruega (NOK),350.000000,230.000000,2022-11-15T23:47:49-0500
Corona Sueca (SEK),350.000000,230.000000,2022-11-15T23:47:49-0500
Dólar Australiano (AUD),3350.000000,3230.000000,2022-11-15T23:47:49-0500
Dólar Canadiense (CAD),3700.000000,3580.000000,2022-11-15T23:47:49-0500
Dólar Nueva Zelanda (NZD),2500.000000,2100.000000,2022-11-15T23:47:49-0500
Florín Antillas (AWG),1700.000000,1500.000000,2022-11-15T23:47:49-0500
Franco Suizo (CHF),4800.000000,4600.000000,2022-11-15T23:47:49-0500
Libra Esterlina (GBP),5650.000000,5300.000000,2022-11-15T23:47:49-0500
Lira Turca (TRY),700.000000,320.000000,2022-11-15T23:47:49-0500
Nuevo Sol (PEN),1350.000000,1280.000000,2022-11-15T23:47:49-0500
Peso Argentino (ARS),40.000000,22.000000,2022-11-15T23:47:49-0500
Peso Boliviano (BOB),480.000000,380.000000,2022-11-15T23:47:49-0500
Peso Chileno (CLP),52.000000,47.000000,2022-11-15T23:47:49-0500
Peso Dominicano (DOP),110.000000,95.000000,2022-11-15T23:47:49-0500
Peso Mexicano (MXN),275.000000,240.000000,2022-11-15T23:47:49-0500
Peso Uruguayo (UYU),75.000000,40.000000,2022-11-15T23:47:49-0500
Quetzal (GTQ),430.000000,330.000000,2022-11-15T23:47:49-0500
Real Brasilero (BRL),1030.000000,940.000000,2022-11-15T23:47:49-0500
Rupia India (INR),30.000000,10.000000,2022-11-15T23:47:49-0500
Yen Japonés (JPY),35.000000,25.000000,2022-11-15T23:47:49-0500
Yuan Chino (CNY),540.000000,450.000000,2022-11-15T23:47:49-0500
